Unix Time,Env,Experiment,Step,Value
1734399892.2403939,LBF,exp_1,0,0.0
1734399901.3904586,LBF,exp_1,1,0.0
1734399910.1717718,LBF,exp_1,2,1.0
1734399919.4009697,LBF,exp_1,3,1.0
1734399927.783644,LBF,exp_1,4,2.0
1734399936.2286503,LBF,exp_1,5,2.0
1734399944.6975574,LBF,exp_1,6,1.0
1734399953.4416482,LBF,exp_1,7,4.333333333333333
1734399961.8228352,LBF,exp_1,8,2.6666666666666665
1734399970.2531164,LBF,exp_1,9,2.6666666666666665
1734399978.790056,LBF,exp_1,10,1.0
1734399987.666551,LBF,exp_1,11,2.0
1734399996.4038887,LBF,exp_1,12,2.0
1734400005.0528255,LBF,exp_1,13,2.6666666666666665
1734400013.840145,LBF,exp_1,14,2.0
1734400022.330513,LBF,exp_1,15,2.0
1734400031.6766276,LBF,exp_1,16,2.0
1734400040.8039994,LBF,exp_1,17,1.0
1734400049.4762545,LBF,exp_1,18,2.0
1734400058.332904,LBF,exp_1,19,2.0
1734400067.2062967,LBF,exp_1,20,0.0
1734400075.9193187,LBF,exp_1,21,2.0
1734400085.1063366,LBF,exp_1,22,0.0
1734400094.2080705,LBF,exp_1,23,0.3333333333333333
1734400103.5583878,LBF,exp_1,24,1.6666666666666667
1734400112.9761448,LBF,exp_1,25,2.0
1734400121.471596,LBF,exp_1,26,2.0
1734400130.5385354,LBF,exp_1,27,3.0
1734400139.4139907,LBF,exp_1,28,1.0
1734400148.7210062,LBF,exp_1,29,2.0
1734400157.5159268,LBF,exp_1,30,2.6666666666666665
1734400166.1176095,LBF,exp_1,31,2.0
1734400174.5851543,LBF,exp_1,32,2.0
1734400183.005154,LBF,exp_1,33,2.0
1734400192.0106628,LBF,exp_1,34,1.6666666666666667
1734400200.3184206,LBF,exp_1,35,3.6666666666666665
1734400209.0265338,LBF,exp_1,36,1.6666666666666667
1734400218.2658186,LBF,exp_1,37,1.3333333333333333
1734400226.6806357,LBF,exp_1,38,1.3333333333333333
1734400235.4068186,LBF,exp_1,39,1.3333333333333333
1734400243.9349427,LBF,exp_1,40,2.6666666666666665
1734400252.739198,LBF,exp_2,0,0.0
1734400261.6397357,LBF,exp_2,1,0.0
1734400270.6559904,LBF,exp_2,2,0.0
1734400279.7814546,LBF,exp_2,3,2.0
1734400288.602257,LBF,exp_2,4,2.0
1734400296.9727242,LBF,exp_2,5,2.0
1734400305.5238235,LBF,exp_2,6,2.0
1734400314.258064,LBF,exp_2,7,3.0
1734400322.8541477,LBF,exp_2,8,0.3333333333333333
1734400332.328732,LBF,exp_2,9,1.0
1734400341.4672515,LBF,exp_2,10,1.6666666666666667
1734400350.7440228,LBF,exp_2,11,2.0
1734400360.5271127,LBF,exp_2,12,1.6666666666666667
1734400369.4159331,LBF,exp_2,13,1.0
1734400378.664067,LBF,exp_2,14,1.0
1734400387.757731,LBF,exp_2,15,2.6666666666666665
1734400396.4017026,LBF,exp_2,16,2.0
1734400405.2554152,LBF,exp_2,17,1.3333333333333333
1734400414.122679,LBF,exp_2,18,0.0
1734400422.8659215,LBF,exp_2,19,0.0
1734400431.6402388,LBF,exp_2,20,0.0
1734400440.7201786,LBF,exp_2,21,3.6666666666666665
1734400449.5820265,LBF,exp_2,22,1.3333333333333333
1734400458.0551007,LBF,exp_2,23,1.0
1734400466.5232103,LBF,exp_2,24,2.0
1734400475.782854,LBF,exp_2,25,0.0
1734400484.5913115,LBF,exp_2,26,1.0
1734400493.4284937,LBF,exp_2,27,1.6666666666666667
1734400503.396547,LBF,exp_2,28,1.6666666666666667
1734400512.3230104,LBF,exp_2,29,2.6666666666666665
1734400521.0602555,LBF,exp_2,30,0.0
1734400529.3994448,LBF,exp_2,31,1.6666666666666667
1734400537.7919219,LBF,exp_2,32,3.0
1734400546.6128745,LBF,exp_2,33,0.6666666666666666
1734400555.3296747,LBF,exp_2,34,2.3333333333333335
1734400564.1832,LBF,exp_2,35,2.6666666666666665
1734400573.030262,LBF,exp_2,36,2.0
1734400581.6326115,LBF,exp_2,37,2.6666666666666665
1734400590.310625,LBF,exp_2,38,0.0
1734400599.387043,LBF,exp_2,39,1.3333333333333333
1734400608.730013,LBF,exp_2,40,0.3333333333333333
1734400618.0161345,LBF,exp_3,0,0.0
1734400627.6871831,LBF,exp_3,1,0.0
1734400636.9029522,LBF,exp_3,2,0.0
1734400646.069535,LBF,exp_3,3,1.0
1734400654.4394248,LBF,exp_3,4,3.6666666666666665
1734400663.4366832,LBF,exp_3,5,3.0
1734400671.996561,LBF,exp_3,6,2.0
1734400680.656869,LBF,exp_3,7,1.0
1734400689.5236123,LBF,exp_3,8,2.0
1734400697.9842653,LBF,exp_3,9,0.3333333333333333
1734400706.7805579,LBF,exp_3,10,1.3333333333333333
1734400716.2540064,LBF,exp_3,11,2.0
1734400726.0817616,LBF,exp_3,12,0.0
1734400735.3077316,LBF,exp_3,13,2.0
1734400744.269377,LBF,exp_3,14,1.0
1734400753.8059413,LBF,exp_3,15,1.0
1734400762.7884555,LBF,exp_3,16,1.0
1734400771.3245966,LBF,exp_3,17,2.0
1734400780.315263,LBF,exp_3,18,0.0
1734400789.1164527,LBF,exp_3,19,1.6666666666666667
1734400797.862095,LBF,exp_3,20,2.0
1734400806.9330602,LBF,exp_3,21,1.6666666666666667
1734400816.0305803,LBF,exp_3,22,3.0
1734400824.584625,LBF,exp_3,23,2.0
1734400833.2647762,LBF,exp_3,24,2.3333333333333335
