Unix Time,Env,Experiment,Step,Value
1734399911.8229773,LBF,exp_1,0,0.0
1734399919.7714214,LBF,exp_1,1,0.0
1734399927.2963777,LBF,exp_1,2,1.0
1734399933.705523,LBF,exp_1,3,1.6666666666666667
1734399940.3572276,LBF,exp_1,4,1.0
1734399946.9343157,LBF,exp_1,5,2.6666666666666665
1734399953.3928814,LBF,exp_1,6,2.0
1734399960.1395361,LBF,exp_1,7,2.0
1734399967.1959298,LBF,exp_1,8,1.3333333333333333
1734399973.888436,LBF,exp_1,9,1.0
1734399980.3022869,LBF,exp_1,10,2.0
1734399986.9094653,LBF,exp_1,11,2.0
1734399993.4784672,LBF,exp_1,12,3.6666666666666665
1734400000.0438187,LBF,exp_1,13,0.0
1734400006.555941,LBF,exp_1,14,0.0
1734400013.198496,LBF,exp_1,15,2.6666666666666665
1734400020.002566,LBF,exp_1,16,2.0
1734400026.6197886,LBF,exp_1,17,1.0
1734400033.4502394,LBF,exp_1,18,0.6666666666666666
1734400040.3105404,LBF,exp_1,19,1.3333333333333333
1734400046.5645795,LBF,exp_1,20,3.0
1734400053.8239934,LBF,exp_1,21,1.6666666666666667
1734400060.1931002,LBF,exp_1,22,2.0
1734400066.7270577,LBF,exp_1,23,0.0
1734400073.549841,LBF,exp_1,24,0.0
1734400080.3158062,LBF,exp_1,25,1.0
1734400086.890426,LBF,exp_1,26,1.3333333333333333
1734400093.322854,LBF,exp_1,27,2.0
1734400099.6697352,LBF,exp_1,28,2.0
1734400106.3914564,LBF,exp_1,29,2.0
1734400112.6517203,LBF,exp_1,30,3.0
1734400118.9682634,LBF,exp_1,31,3.0
1734400125.3102777,LBF,exp_1,32,3.0
1734400131.7391405,LBF,exp_1,33,3.0
1734400138.3012135,LBF,exp_1,34,1.0
1734400145.1588068,LBF,exp_1,35,2.3333333333333335
1734400151.7188573,LBF,exp_1,36,2.0
1734400158.055268,LBF,exp_1,37,3.0
1734400164.5579374,LBF,exp_1,38,2.0
1734400171.0699658,LBF,exp_1,39,0.3333333333333333
1734400177.9513593,LBF,exp_1,40,1.3333333333333333
1734400184.630631,LBF,exp_2,0,0.0
1734400191.4697628,LBF,exp_2,1,0.0
1734400198.6107872,LBF,exp_2,2,1.0
1734400205.9519436,LBF,exp_2,3,1.0
1734400212.7005525,LBF,exp_2,4,0.0
1734400219.466066,LBF,exp_2,5,1.0
1734400225.8808377,LBF,exp_2,6,2.0
1734400232.392372,LBF,exp_2,7,3.0
1734400238.8063676,LBF,exp_2,8,2.0
1734400245.1717799,LBF,exp_2,9,2.0
1734400251.6293736,LBF,exp_2,10,2.0
1734400258.146905,LBF,exp_2,11,1.0
1734400264.9348834,LBF,exp_2,12,2.0
1734400271.5642107,LBF,exp_2,13,3.0
1734400278.1277623,LBF,exp_2,14,1.0
1734400284.662965,LBF,exp_2,15,1.0
1734400291.014373,LBF,exp_2,16,2.0
1734400297.9469852,LBF,exp_2,17,1.0
1734400304.3731947,LBF,exp_2,18,2.0
1734400310.9151025,LBF,exp_2,19,2.0
1734400317.452189,LBF,exp_2,20,0.0
1734400324.2376804,LBF,exp_2,21,0.0
1734400330.9786434,LBF,exp_2,22,1.0
1734400337.832346,LBF,exp_2,23,1.3333333333333333
1734400344.5526857,LBF,exp_2,24,0.0
1734400350.9842405,LBF,exp_2,25,1.0
1734400357.7343872,LBF,exp_2,26,2.0
1734400364.4883578,LBF,exp_2,27,2.0
1734400370.6521072,LBF,exp_2,28,3.6666666666666665
1734400376.8918009,LBF,exp_2,29,3.0
1734400383.5216117,LBF,exp_2,30,0.3333333333333333
1734400390.4925041,LBF,exp_2,31,2.0
1734400396.9213932,LBF,exp_2,32,2.6666666666666665
1734400403.6634228,LBF,exp_2,33,1.3333333333333333
1734400410.0516903,LBF,exp_2,34,0.3333333333333333
1734400417.0418668,LBF,exp_2,35,2.6666666666666665
1734400423.3777714,LBF,exp_2,36,2.0
1734400429.986903,LBF,exp_2,37,3.6666666666666665
1734400436.5238001,LBF,exp_2,38,2.0
1734400443.0114183,LBF,exp_2,39,3.6666666666666665
1734400449.401646,LBF,exp_2,40,3.0
1734400455.9324486,LBF,exp_3,0,0.0
1734400462.5896235,LBF,exp_3,1,1.0
1734400469.991889,LBF,exp_3,2,1.3333333333333333
1734400476.7422287,LBF,exp_3,3,1.0
1734400483.503476,LBF,exp_3,4,1.6666666666666667
1734400489.9105663,LBF,exp_3,5,1.6666666666666667
1734400496.7269845,LBF,exp_3,6,0.0
1734400503.2692196,LBF,exp_3,7,3.0
1734400509.756668,LBF,exp_3,8,1.0
