Unix Time,Env,Experiment,Step,Value
1734399904.7590635,LBF,exp_1,0,0.0
1734399954.8336616,LBF,exp_1,1,0.0
1734400004.533823,LBF,exp_1,2,0.0
1734400053.7661963,LBF,exp_1,3,0.0
1734400103.4201577,LBF,exp_1,4,0.0
1734400150.2301369,LBF,exp_1,5,0.0
1734400198.830802,LBF,exp_1,6,0.0
1734400247.2289193,LBF,exp_1,7,0.0
1734400295.5764499,LBF,exp_1,8,0.3333333333333333
1734400344.9674757,LBF,exp_1,9,0.0
1734400393.3679054,LBF,exp_1,10,0.0
1734400442.0914176,LBF,exp_1,11,0.0
1734400489.545694,LBF,exp_1,12,0.0
1734400539.257055,LBF,exp_1,13,0.0
1734400588.2919447,LBF,exp_1,14,0.0
1734400636.060941,LBF,exp_1,15,1.0
1734400680.7976096,LBF,exp_1,16,0.0
1734400725.8769355,LBF,exp_1,17,0.0
1734400772.2266529,LBF,exp_1,18,0.0
1734400819.930419,LBF,exp_1,19,0.0
1734400867.9208016,LBF,exp_1,20,1.0
1734400914.449318,LBF,exp_1,21,0.0
1734400962.3369935,LBF,exp_1,22,1.3333333333333333
1734401010.6337702,LBF,exp_1,23,0.0
1734401057.4978068,LBF,exp_1,24,1.0
1734401104.5111587,LBF,exp_1,25,1.0
1734401150.7040129,LBF,exp_1,26,1.0
1734401197.5202696,LBF,exp_1,27,0.0
1734401245.2074897,LBF,exp_1,28,0.0
1734401291.5225263,LBF,exp_1,29,0.0
1734401337.4846363,LBF,exp_1,30,2.0
1734401383.1343849,LBF,exp_1,31,0.0
1734401428.29265,LBF,exp_1,32,2.0
1734401474.3756955,LBF,exp_1,33,0.0
1734401519.502869,LBF,exp_1,34,2.6666666666666665
1734401565.1095319,LBF,exp_1,35,0.0
1734401610.2639759,LBF,exp_1,36,0.0
1734401654.6478393,LBF,exp_1,37,0.0
1734401699.9773755,LBF,exp_1,38,0.0
1734401744.005364,LBF,exp_1,39,0.0
1734401790.0578473,LBF,exp_1,40,0.0
1734401835.3947587,LBF,exp_2,0,0.0
1734401882.500486,LBF,exp_2,1,0.0
1734401928.7644339,LBF,exp_2,2,0.0
1734401974.2394896,LBF,exp_2,3,0.0
1734402020.8060443,LBF,exp_2,4,0.0
1734402068.7269042,LBF,exp_2,5,0.0
1734402116.2195294,LBF,exp_2,6,0.0
1734402164.868438,LBF,exp_2,7,0.0
1734402213.474494,LBF,exp_2,8,0.0
1734402263.238308,LBF,exp_2,9,0.0
1734402308.8894925,LBF,exp_2,10,0.0
1734402356.3961453,LBF,exp_2,11,0.0
1734402403.9225264,LBF,exp_2,12,0.0
1734402450.8188057,LBF,exp_2,13,0.0
1734402497.8957317,LBF,exp_2,14,0.0
1734402546.0815032,LBF,exp_2,15,0.0
1734402595.3339055,LBF,exp_2,16,0.6666666666666666
1734402642.442066,LBF,exp_2,17,1.0
1734402688.459963,LBF,exp_2,18,1.0
1734402735.1144476,LBF,exp_2,19,1.0
1734402782.3871055,LBF,exp_2,20,0.3333333333333333
1734402827.090611,LBF,exp_2,21,2.0
1734402872.7611043,LBF,exp_2,22,2.0
1734402918.9909344,LBF,exp_2,23,0.0
1734402965.5608425,LBF,exp_2,24,1.0
1734403011.6749353,LBF,exp_2,25,3.0
1734403058.2621987,LBF,exp_2,26,0.0
1734403104.7586467,LBF,exp_2,27,2.0
1734403151.6237652,LBF,exp_2,28,1.0
1734403198.0851815,LBF,exp_2,29,1.0
1734403245.272942,LBF,exp_2,30,2.3333333333333335
1734403292.9330204,LBF,exp_2,31,2.0
1734403340.096089,LBF,exp_2,32,1.0
1734403386.1395178,LBF,exp_2,33,2.0
1734403432.521166,LBF,exp_2,34,1.0
1734403478.524537,LBF,exp_2,35,0.0
1734403526.9644775,LBF,exp_2,36,2.0
1734403571.2136903,LBF,exp_2,37,2.0
1734403615.966537,LBF,exp_2,38,2.0
1734403662.8593721,LBF,exp_2,39,0.0
1734403706.4942234,LBF,exp_2,40,1.0
1734403749.8703952,LBF,exp_3,0,0.0
1734403796.9022226,LBF,exp_3,1,0.0
1734403844.0322163,LBF,exp_3,2,0.0
1734403890.5558987,LBF,exp_3,3,0.0
1734403938.5240176,LBF,exp_3,4,0.0
1734403988.158611,LBF,exp_3,5,0.0
1734404036.3545191,LBF,exp_3,6,2.0
1734404084.7816083,LBF,exp_3,7,0.0
1734404131.743252,LBF,exp_3,8,0.0
1734404178.372511,LBF,exp_3,9,0.0
1734404224.2221901,LBF,exp_3,10,0.0
1734404270.243518,LBF,exp_3,11,0.3333333333333333
1734404316.9506125,LBF,exp_3,12,1.0
1734404364.410295,LBF,exp_3,13,0.0
1734404416.2967217,LBF,exp_3,14,1.0
1734404464.1200204,LBF,exp_3,15,1.0
1734404509.5182548,LBF,exp_3,16,1.0
1734404555.7193627,LBF,exp_3,17,0.3333333333333333
1734404602.2511094,LBF,exp_3,18,0.0
1734404649.7866516,LBF,exp_3,19,1.0
1734404697.260774,LBF,exp_3,20,1.0
1734404743.5861928,LBF,exp_3,21,1.0
1734404791.2078128,LBF,exp_3,22,1.0
1734404838.875455,LBF,exp_3,23,0.0
1734404883.0533962,LBF,exp_3,24,1.0
1734404927.178154,LBF,exp_3,25,3.0
1734404974.0967255,LBF,exp_3,26,1.0
1734405019.1036477,LBF,exp_3,27,2.0
1734405064.3615892,LBF,exp_3,28,1.0
1734405110.4006727,LBF,exp_3,29,2.3333333333333335
1734405155.4588363,LBF,exp_3,30,0.0
1734405200.771675,LBF,exp_3,31,1.0
1734405246.8557675,LBF,exp_3,32,2.3333333333333335
1734405291.9434555,LBF,exp_3,33,0.0
1734405337.512971,LBF,exp_3,34,1.0
1734405383.5257401,LBF,exp_3,35,0.0
1734405427.5942333,LBF,exp_3,36,1.0
1734405473.1835878,LBF,exp_3,37,0.0
1734405518.0264547,LBF,exp_3,38,0.0
1734405564.2656467,LBF,exp_3,39,2.3333333333333335
1734405609.3217356,LBF,exp_3,40,0.0
1734405653.841794,LBF,exp_4,0,0.0
1734405701.3182213,LBF,exp_4,1,0.0
1734405746.6900566,LBF,exp_4,2,0.0
1734405794.7407854,LBF,exp_4,3,0.0
1734405842.890607,LBF,exp_4,4,0.0
1734405892.6849256,LBF,exp_4,5,0.0
1734405939.522641,LBF,exp_4,6,0.0
1734405988.6850584,LBF,exp_4,7,0.0
1734406036.6871593,LBF,exp_4,8,0.0
1734406083.3601468,LBF,exp_4,9,0.0
1734406130.699389,LBF,exp_4,10,0.0
1734406176.5531394,LBF,exp_4,11,0.0
1734406220.9004319,LBF,exp_4,12,0.0
1734406267.6952543,LBF,exp_4,13,0.0
1734406314.2635875,LBF,exp_4,14,0.0
1734406359.765227,LBF,exp_4,15,0.0
1734406406.6580148,LBF,exp_4,16,1.0
1734406453.795408,LBF,exp_4,17,0.0
1734406497.9351778,LBF,exp_4,18,1.0
1734406542.0969326,LBF,exp_4,19,2.0
1734406587.9270046,LBF,exp_4,20,2.3333333333333335
1734406633.9190521,LBF,exp_4,21,3.0
1734406679.711007,LBF,exp_4,22,2.0
1734406725.2822154,LBF,exp_4,23,1.0
1734406770.620293,LBF,exp_4,24,1.0
1734406814.5721698,LBF,exp_4,25,2.0
1734406859.5034492,LBF,exp_4,26,1.0
1734406905.6013703,LBF,exp_4,27,1.0
1734406951.7219658,LBF,exp_4,28,1.0
1734406996.7704706,LBF,exp_4,29,2.0
1734407044.2613316,LBF,exp_4,30,2.0
1734407089.1602938,LBF,exp_4,31,1.0
1734407134.2458484,LBF,exp_4,32,1.0
1734407178.9635236,LBF,exp_4,33,0.0
1734407224.2262418,LBF,exp_4,34,1.0
1734407267.1916354,LBF,exp_4,35,0.0
1734407311.6057384,LBF,exp_4,36,3.0
1734407356.5791316,LBF,exp_4,37,1.0
1734407401.6514359,LBF,exp_4,38,0.0
1734407448.0864367,LBF,exp_4,39,0.0
1734407493.5896316,LBF,exp_4,40,0.0
1734407537.8205535,LBF,exp_5,0,0.0
1734407584.7402458,LBF,exp_5,1,0.0
1734407632.6026335,LBF,exp_5,2,0.0
1734407681.613916,LBF,exp_5,3,0.0
1734407728.081362,LBF,exp_5,4,0.0
1734407774.972404,LBF,exp_5,5,0.0
1734407822.9281626,LBF,exp_5,6,0.0
1734407871.576467,LBF,exp_5,7,0.0
1734407920.720426,LBF,exp_5,8,0.0
1734407968.4477224,LBF,exp_5,9,0.0
1734408015.352997,LBF,exp_5,10,0.0
1734408062.9584537,LBF,exp_5,11,0.0
1734408107.4088788,LBF,exp_5,12,0.0
1734408154.9036882,LBF,exp_5,13,0.0
1734408201.9468677,LBF,exp_5,14,1.0
1734408248.2991786,LBF,exp_5,15,0.3333333333333333
1734408295.0365415,LBF,exp_5,16,0.0
1734408340.2618182,LBF,exp_5,17,1.6666666666666667
1734408386.2992907,LBF,exp_5,18,3.0
1734408431.0872018,LBF,exp_5,19,1.0
1734408476.3059986,LBF,exp_5,20,1.0
1734408522.176231,LBF,exp_5,21,1.0
1734408566.6242058,LBF,exp_5,22,0.0
1734408612.7029195,LBF,exp_5,23,0.0
1734408657.2261899,LBF,exp_5,24,1.0
1734408702.495351,LBF,exp_5,25,2.0
1734408748.6094527,LBF,exp_5,26,2.0
1734408794.0605688,LBF,exp_5,27,2.0
1734408839.6488113,LBF,exp_5,28,1.0
1734408884.8765655,LBF,exp_5,29,1.0
1734408930.2085452,LBF,exp_5,30,0.0
1734408975.994521,LBF,exp_5,31,1.0
1734409021.644568,LBF,exp_5,32,1.0
1734409065.935417,LBF,exp_5,33,0.0
1734409110.9624712,LBF,exp_5,34,1.0
1734409157.329057,LBF,exp_5,35,0.0
1734409203.770797,LBF,exp_5,36,2.0
1734409249.9191115,LBF,exp_5,37,2.3333333333333335
1734409296.1504614,LBF,exp_5,38,0.0
1734409341.4993138,LBF,exp_5,39,2.0
1734409389.5244603,LBF,exp_5,40,2.3333333333333335
